"","Date","employment"
"1",2000-01-01,14652700
"2",2000-02-01,14672200
"3",2000-03-01,14697500
"4",2000-04-01,14722700
"5",2000-05-01,14736400
"6",2000-06-01,14746800
"7",2000-07-01,14750400
"8",2000-08-01,14770300
"9",2000-09-01,14812200
"10",2000-10-01,14835300
"11",2000-11-01,14871400
"12",2000-12-01,14920000
"13",2001-01-01,14894400
"14",2001-02-01,14883900
"15",2001-03-01,14888700
"16",2001-04-01,14922300
"17",2001-05-01,14946200
"18",2001-06-01,14922500
"19",2001-07-01,14946300
"20",2001-08-01,14948500
"21",2001-09-01,14972800
"22",2001-10-01,14976900
"23",2001-11-01,14990300
"24",2001-12-01,14965600
"25",2002-01-01,15019400
"26",2002-02-01,15042300
"27",2002-03-01,15120500
"28",2002-04-01,15167800
"29",2002-05-01,15222200
"30",2002-06-01,15284300
"31",2002-07-01,15324200
"32",2002-08-01,15406900
"33",2002-09-01,15405200
"34",2002-10-01,15419100
"35",2002-11-01,15467200
"36",2002-12-01,15524700
"37",2003-01-01,15544200
"38",2003-02-01,15601600
"39",2003-03-01,15609700
"40",2003-04-01,15593200
"41",2003-05-01,15574800
"42",2003-06-01,15627100
"43",2003-07-01,15648400
"44",2003-08-01,15638900
"45",2003-09-01,15674700
"46",2003-10-01,15729500
"47",2003-11-01,15778500
"48",2003-12-01,15821100
"49",2004-01-01,15819700
"50",2004-02-01,15826900
"51",2004-03-01,15836300
"52",2004-04-01,15882700
"53",2004-05-01,15900900
"54",2004-06-01,15923900
"55",2004-07-01,15937600
"56",2004-08-01,15945400
"57",2004-09-01,15978900
"58",2004-10-01,15989600
"59",2004-11-01,16008300
"60",2004-12-01,16022800
"61",2005-01-01,16034000
"62",2005-02-01,16047100
"63",2005-03-01,16046500
"64",2005-04-01,16072300
"65",2005-05-01,16076700
"66",2005-06-01,16101800
"67",2005-07-01,16142200
"68",2005-08-01,16186600
"69",2005-09-01,16172200
"70",2005-10-01,16211700
"71",2005-11-01,16241200
"72",2005-12-01,16232300
"73",2006-01-01,16261000
"74",2006-02-01,16292200
"75",2006-03-01,16347300
"76",2006-04-01,16383500
"77",2006-05-01,16450400
"78",2006-06-01,16432500
"79",2006-07-01,16440400
"80",2006-08-01,16435700
"81",2006-09-01,16468000
"82",2006-10-01,16487500
"83",2006-11-01,16487500
"84",2006-12-01,16549600
"85",2007-01-01,16615000
"86",2007-02-01,16636400
"87",2007-03-01,16664800
"88",2007-04-01,16658600
"89",2007-05-01,16682100
"90",2007-06-01,16728200
"91",2007-07-01,16796200
"92",2007-08-01,16817500
"93",2007-09-01,16836200
"94",2007-10-01,16883700
"95",2007-11-01,16904800
"96",2007-12-01,16907100
"97",2008-01-01,16932200
"98",2008-02-01,16967500
"99",2008-03-01,16972100
"100",2008-04-01,16971800
"101",2008-05-01,16986800
"102",2008-06-01,16996200
"103",2008-07-01,16980900
"104",2008-08-01,17003300
"105",2008-09-01,17025400
"106",2008-10-01,17070500
"107",2008-11-01,16982700
"108",2008-12-01,16972300
"109",2009-01-01,16824700
"110",2009-02-01,16782400
"111",2009-03-01,16756400
"112",2009-04-01,16730800
"113",2009-05-01,16740700
"114",2009-06-01,16712700
"115",2009-07-01,16702800
"116",2009-08-01,16702700
"117",2009-09-01,16743800
"118",2009-10-01,16753300
"119",2009-11-01,16824700
"120",2009-12-01,16797400
"121",2010-01-01,16825000
"122",2010-02-01,16818000
"123",2010-03-01,16861700
"124",2010-04-01,16928500
"125",2010-05-01,16946800
"126",2010-06-01,17024600
"127",2010-07-01,17036500
"128",2010-08-01,17062100
"129",2010-09-01,17058400
"130",2010-10-01,17044300
"131",2010-11-01,17089400
"132",2010-12-01,17117400
"133",2011-01-01,17187200
"134",2011-02-01,17174800
"135",2011-03-01,17173700
"136",2011-04-01,17222100
"137",2011-05-01,17187400
"138",2011-06-01,17218800
"139",2011-07-01,17256400
"140",2011-08-01,17269400
"141",2011-09-01,17272000
"142",2011-10-01,17258000
"143",2011-11-01,17241400
