"","Indicators","Value","Date","Contribution to Canada","Recent variations","ColorMoM","","ColorYoY"
"1","Economy",NA,NA,NA,NA,NA,NA,NA
"2","Real gross domestic product (GDP)
^Annual adjusted for inflation^","$35.8^Billion^","2024","1.5%",NA,NA,"1.8%^Y/Y^","GREEN"
"3","Manufacturing sales ^Monthly^","$1.8^Billion^","2025-08","2.6%","-2.6%^M/M^","RED","-10.9%^Y/Y^","RED"
"4","Exports ^Monthly^","$1.3^Billion^","2025-08","2.4%","-4.6%^M/M^","RED","-8.5%^Y/Y^","RED"
"5","Active businesses^Total number^","18 K","2025-07","1.9%","0%^M/M^","YELLOW","0.9%^Y/Y^","GREEN"
"6","Labour market",NA,NA,NA,NA,NA,NA,NA
"7","Total employed ^Population with a job^","0.4^Million jobs^","2025-10","1.9%","-0.4%^M/M^","RED","0.3%^Y/Y^","GREEN"
"8","Unemployment rate ^% of active workforce unemployed^","7.9%","2025-10","6.9%^in Canada^","-0.2 p.p.^M/M^","GREEN","1 p.p.^Y/Y^","RED"
"9","Employment rate ^% of total population holding a job (25 - 54 years old)^","82.7%","2025-10","83.5%^in Canada^","-0.3 p.p.^M/M^","RED","0 p.p.^Y/Y^","YELLOW"
"10","Job vacancies ^Number of unfilled positions^","9 K^2.5 % of payroll employees^","2025-08","1.9%","-6.5%^M/M^","GREEN","2%^Y/Y^","RED"
"11","Average weekly earnings ^Full-time workers (25 - 54 years old)^","$1362","2025-10","$1592^in Canada^","-0.9%^M/M^","RED","3.5%^Y/Y^","GREEN"
"12","Inflation ^Consumer price index (CPI) variations^","2.3%^Y/Y^","2025-09","2.4%^in Canada^","0%^M/M^","YELLOW",NA,NA
"13","New immigrants ^Quarterly^","2.7 K","2025-04","2.6%","-15.7%^Q/Q^","RED","-44.7%^Y/Y^","RED"
