"","Indicators","Value","Date","Contribution to Canada","Recent variations","ColorMoM","","ColorYoY"
"1","Economy",NA,NA,NA,NA,NA,NA,NA
"2","Real gross domestic product (GDP)
^Annual adjusted for inflation^","$42.9^Billion^","2021","2%",NA,NA,"6.2%^Y/Y^","GREEN"
"3","Manufacturing sales ^Monthly^","$0.8^Billion^","2023-04","1.1%","-4.6%^M/M^","RED","-11.2%^Y/Y^","RED"
"4","Exports ^Monthly^","$0.6^Billion^","2023-05","1%","26.9%^M/M^","GREEN","-4.7%^Y/Y^","RED"
"5","Active businesses^Total number^","21 K","2023-03","2.2%","-0.1%^M/M^","RED","0.9%^Y/Y^","GREEN"
"6","Labour market",NA,NA,NA,NA,NA,NA,NA
"7","Total employed ^Population with a job^","0.5^Million jobs^","2023-05","2.4%","-1%^M/M^","RED","1.6%^Y/Y^","GREEN"
"8","Unemployment rate ^% of active workforce unemployed^","5.7%","2023-05","5.2%^in Canada^","-0.6 p.p.^M/M^","GREEN","-1.1 p.p.^Y/Y^","GREEN"
"9","Employment rate ^% of total population holding a job (25 - 54 years old)^","82.2%","2023-05","84.9%^in Canada^","-0.9 p.p.^M/M^","RED","-0.3 p.p.^Y/Y^","RED"
"10","Job vacancies ^Number of unfilled positions^","19 K^4.5 % of payroll employees^","2023-04","2.3%","0.7%^M/M^","RED","-10.4%^Y/Y^","GREEN"
"11","Average weekly earnings ^Full-time workers (25 - 54 years old)^","$1256","2023-05","$1449^in Canada^","-0.8%^M/M^","RED","4.7%^Y/Y^","GREEN"
"12","Inflation ^Consumer price index (CPI) variations^","2%^Y/Y^","2023-05","3.4%^in Canada^","-0.3%^M/M^","GREEN",NA,NA
"13","New immigrants ^Quarterly^","3.9 K","2023-01","2.7%","99.8%^Q/Q^","GREEN","21.3%^Y/Y^","GREEN"
